file,path,measured_m,note,use_body_plane,safety_margin_m,code_sha,release_path_mode,width,height,focal_source,f_px,verdict,fit_score,warnings,ground_m,endpoint_m,contour_m,face_m,face_raw_m,spread_m,dx_m,dy_m,dz_m,u_a,u_b,z_a,z_b,dgap_dza,dgap_dzb,dgap_dua,dgap_dub,lever_ratio,dz_shift_a,dz_shift_b,gap_pred_shift,gap_real_shift,px10_m,zsig_m,l_angle,r_angle,l_resid,r_resid,l_gate,r_gate,l_z_edge,l_z_med,r_z_edge,r_z_med,l_extrap_m,r_extrap_m,gates,front_band_px,edge_off_px,contour_points,mask_fill,refer,path_mode,error,seconds
IMG_1266.JPG,photos\IMG_1266.JPG,5.8,실측 · 동일지점 A 를 여러 각도에서 (4장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,retake:NO_VALID_PAIR,6.4
IMG_1266.JPG,photos\IMG_1266.JPG,5.8,실측 · 동일지점 A 를 여러 각도에서 (4장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,off_alt,retake:NO_VALID_PAIR,6.5
IMG_1267.JPG,photos\IMG_1267.JPG,5.8,실측 · 동일지점 A 를 여러 각도에서 (4장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,retake:NO_VALID_PAIR,6.2
IMG_1267.JPG,photos\IMG_1267.JPG,5.8,실측 · 동일지점 A 를 여러 각도에서 (4장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,off_alt,retake:NO_VALID_PAIR,6.3
IMG_1268.JPG,photos\IMG_1268.JPG,5.8,실측 · 동일지점 A 를 여러 각도에서 (4장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,retake:NO_VALID_PAIR,6.3
IMG_1268.JPG,photos\IMG_1268.JPG,5.8,실측 · 동일지점 A 를 여러 각도에서 (4장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,off_alt,retake:NO_VALID_PAIR,6.4
IMG_1269.JPG,photos\IMG_1269.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,5.678,5.68,5.679780379890534,,6.84,0.0,5.676,0.147,0.128,1038.0,2821.0,9.329,9.2,0.358376,0.253761,-0.003203,0.003159,1.412,0.213,0.506,0.2047,0.175,0.032,0.054,0.9,20.3,0.1507,0.0897,ok,ok,9.329,9.372,9.2,8.532,,,,62/73,0.9/0.2,197/169,0.774/0.749,,on,,6.4
IMG_1269.JPG,photos\IMG_1269.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,5.503,5.511,5.511147373416065,,6.84,0.0,5.487,0.3,0.421,1031.0,2821.0,9.116,8.694,0.413835,0.199058,-0.003121,0.002977,2.079,0.213,0.506,0.1889,0.175,0.0312,0.0032,0.9,20.3,0.1507,0.0897,ok,ok,9.329,9.372,9.2,8.532,,,ok:168;ok:191,62/73,7.9/0.2,168/169,0.774/0.749,,off_alt,,6.9
IMG_1270.JPG,photos\IMG_1270.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,1.669,1.678,1.6780118551261611,,1.85,0.0,1.293,0.174,1.055,1207.0,2366.0,2.931,3.986,-0.416809,0.725224,-0.00078,0.001061,1.74,-0.065,-0.014,0.0169,-0.007,0.0106,0.1133,14.4,2.6,0.0479,0.1563,ok,ok,2.931,2.773,3.986,3.932,,,,73/100,15.5/5.4,97/134,0.739/0.709,,on,,6.7
IMG_1270.JPG,photos\IMG_1270.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,1.676,1.725,1.725353992224641,,1.85,0.0,1.342,0.411,1.004,1182.0,2368.0,2.996,4.0,-0.369799,0.695895,-0.000824,0.0011,1.882,-0.065,-0.014,0.0143,-0.007,0.011,0.0101,14.4,2.6,0.0479,0.1563,ok,ok,2.925,2.773,3.986,3.932,,,ok:200;ok:200,73/100,40.5/7.4,97/118,0.739/0.709,,off_alt,,7.5
IMG_1271.JPG,photos\IMG_1271.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,1.58,1.604,1.6038641142903651,,1.41,0.0,1.281,0.276,0.924,1272.0,2249.0,3.599,4.523,-0.377767,0.649879,-0.001002,0.00126,1.72,0.149,-0.343,-0.2792,-0.316,0.0126,0.0991,19.4,16.1,0.0678,0.1524,ok,ok,3.599,3.32,4.523,4.946,,,,77/108,18.9/17.0,93/183,0.782/0.719,,on,,6.6
IMG_1271.JPG,photos\IMG_1271.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,1.896,1.927,1.9268921098733216,,1.41,0.0,1.262,0.342,1.415,1271.0,2243.0,3.45,4.866,-0.576126,0.798267,-0.000789,0.001112,1.386,0.149,-0.343,-0.3596,-0.316,0.0111,0.0046,19.4,16.1,0.0678,0.1524,ok,ok,3.598,3.32,4.52,4.946,,,ok:200;ok:200,77/108,19.9/11.0,93/183,0.782/0.719,,off_alt,,7.3
IMG_1274.JPG,photos\IMG_1274.JPG,4.8,실측 · 동일지점 B 를 여러 각도에서 (5장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,4.325,4.326,4.325628811112019,,2.73,0.0,1.883,0.065,3.894,1388.0,2639.0,6.323,2.429,0.994132,-0.807078,-0.000945,0.000363,1.232,0.083,0.398,-0.2387,-0.265,0.0095,0.2108,0.9,61.5,0.212,0.0532,ok,ok,6.323,6.323,2.429,1.843,,,,68/83,10.1/0.2,195/160,0.722/0.826,,on,,6.8
IMG_1274.JPG,photos\IMG_1274.JPG,4.8,실측 · 동일지점 B 를 여러 각도에서 (5장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,4.59,4.593,4.593102264439106,,2.73,0.0,1.831,0.178,4.209,1387.0,2709.0,6.24,2.031,1.003144,-0.82202,-0.000855,0.000278,1.22,0.083,0.398,-0.2439,-0.265,0.0085,0.0059,0.9,61.5,0.212,0.0532,ok,ok,6.323,6.323,2.354,1.843,,,ok:189;ok:200,68/83,11.1/70.2,187/160,0.722/0.826,,off_alt,,7.7
